,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
,,,,,,,,,,,12:00:00 AM,367,27.6,12:27:00 AM,367
,,,,,,,,,,,1:00:00 AM,1361,27.6,1:27:00 AM,1361
,,,,,,,,,,,2:00:00 AM,2355,27.6,2:27:00 AM,2355
,,,,,,,,,,,3:00:00 AM,3456,29.6,3:29:00 AM,3456
,,,,,,,,,,,4:00:00 AM,6437,29.6,4:29:00 AM,6437
,,,,,,,,,,,5:00:00 AM,9418,29.6,5:29:30 AM,9418
,,,,,,,,,,,6:00:00 AM,11619,33.3,6:33:30 AM,11619
,,,,,,,,,,,7:00:00 AM,17581,33.3,7:33:30 AM,17581
,,,,,,,,,,,8:00:00 AM,23543,33.3,8:33:30 AM,23543
,,,,,,,,,,,9:00:00 AM,25115,31.1,9:31:30 AM,25115
,,,,,,,,,,,10:00:00 AM,29373,31.1,10:31:36 AM,29373
,,,,,,,,,,,11:00:00 AM,33631,31.1,11:31:36 AM,33631
,,,,,,,,,,,12:00:00 PM,37889,31.1,12:31:36 PM,37889
,,,,,,,,,,,1:00:00 PM,42147,31.1,1:31:36 PM,42147
,,,,,,,,,,,2:00:00 PM,46405,31.1,2:31:36 PM,46405
,,,,,,,,,,,3:00:00 PM,48606,33.3,3:33:30 PM,48606
,,,,,,,,,,,4:00:00 PM,54568,33.3,4:33:30 PM,54568
,,,,,,,,,,,5:00:00 PM,60530,33.3,5:33:30 PM,60530
,,,,,,,,,,,6:00:00 PM,61631,29.6,6:29:30 PM,61631
,,,,,,,,,,,7:00:00 PM,64612,29.6,7:29:30 PM,64612
,,,,,,,,,,,8:00:00 PM,67593,29.6,8:29:00 PM,67593
,,,,,,,,,,,9:00:00 PM,67960,27.6,9:27:00 PM,67960
,,,,,,,,,,,10:00:00 PM,68954,27.6,10:27:00 PM,68954
,,,,,,,,,,,11:00:00 PM,69948,27.6,11:27:00 PM,69948
