Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,152,2.9,12:00:00 AM,152
1:00:00 AM,304,2.9,1:00:00 AM,304
2:00:00 AM,456,2.9,2:00:00 AM,456
3:00:00 AM,912,3,3:00:00 AM,912
4:00:00 AM,1368,3,4:00:00 AM,1368
5:00:00 AM,1824,3,5:03:24 AM,1824
6:00:00 AM,2737,3.1,6:03:24 AM,2737
7:00:00 AM,3650,3.1,7:03:24 AM,3650
8:00:00 AM,4563,3.1,8:03:24 AM,4563
9:00:00 AM,5215,3,9:03:24 AM,5215
10:00:00 AM,5867,3,10:03:36 AM,5867
11:00:00 AM,6519,3,11:03:36 AM,6519
12:00:00 PM,7171,3,12:03:36 PM,7171
1:00:00 PM,7823,3,1:03:36 PM,7823
2:00:00 PM,8475,3,2:03:36 PM,8475
3:00:00 PM,9388,3.1,3:03:24 PM,9388
4:00:00 PM,10301,3.1,4:03:24 PM,10301
5:00:00 PM,11214,3.1,5:03:24 PM,11214
6:00:00 PM,11670,3,6:03:24 PM,11670
7:00:00 PM,12126,3,7:03:24 PM,12126
8:00:00 PM,12582,3,8:00:00 PM,12582
9:00:00 PM,12734,2.9,9:00:00 PM,12734
10:00:00 PM,12886,2.9,10:00:00 PM,12886
11:00:00 PM,13038,2.9,11:00:00 PM,13038
